order_id,order_date,region,country,category,product,channel,quantity,unit_price,discount_rate,revenue,customer_segment,delivery_days
ORD-103225,2023-01-01,North America,Canada,Beauty,Argan Shampoo,marketplace,2,64.81,0.0,129.62,Consumer,2.0
ORD-103709,2023-01-01,EMEA,Italy,Sports,Carbon Racket,marketplace,5,199.55,0.05,947.86,Enterprise,6.0
ORD-104526,2023-01-01,EMEA,France,Beauty,Argan Shampoo,web,9,35.3,0.15,270.04,Enterprise,2.0
ORD-100504,2023-01-02,North America,Mexico,Home,Desk Lamp,retail,3,58.37,0.15,148.84,Consumer,1.0
ORD-100580,2023-01-02,EMEA,United Kingdom,Home,Espresso Maker,web,3,85.46,0.0,256.38,Consumer,6.0
ORD-100703,2023-01-02,North America,Canada,Sports,Trail Runners,web,4,101.17,0.1,364.21,Consumer,3.0
ORD-100795,2023-01-02,North America,United States,Sports,Carbon Racket,web,1,97.8,0.0,97.8,Consumer,7.0
ORD-101693,2023-01-02,North America,United States,Beauty,Matte Lipstick,marketplace,3,59.98,0.0,179.94,SMB,3.0
ORD-102345,2023-01-02,North America,Mexico,Home,Cast Iron Pan,web,2,99.74,0.05,189.51,Consumer,1.0
ORD-103104,2023-01-02,North America,Mexico,Sports,Yoga Mat Pro,retail,2,229.56,0.0,459.12,Consumer,1.0
ORD-103339,2023-01-02,North America,Canada,Home,Desk Lamp,partner,3,41.83,0.0,125.49,Consumer,1.0
ORD-103620,2023-01-02,LATAM,Chile,Electronics,Smart Watch,retail,3,452.63,0.1,1222.1,SMB,6.0
ORD-103933,2023-01-02,North America,Canada,Electronics,Laptop Air 13,web,1,154.08,0.2,123.26,SMB,3.0
ORD-104087,2023-01-02,North America,Mexico,Electronics,4K Monitor,marketplace,7,182.98,0.0,1280.86,Enterprise,1.0
ORD-104749,2023-01-02,LATAM,Brazil,Beauty,Matte Lipstick,web,3,26.61,0.05,75.84,SMB,8.0
ORD-101060,2023-01-03,North America,United States,Home,Espresso Maker,retail,4,63.06,0.0,252.24,Consumer,1.0
ORD-102048,2023-01-03,APAC,Australia,Electronics,Smart Watch,retail,3,263.39,0.1,711.15,Consumer,9.0
ORD-102482,2023-01-03,EMEA,Germany,Sports,Carbon Racket,web,2,117.15,0.05,222.58,Consumer,4.0
ORD-102600,2023-01-03,LATAM,Brazil,Sports,Carbon Racket,retail,2,230.0,0.0,460.0,SMB,5.0
ORD-104859,2023-01-03,North America,Canada,Grocery,Olive Oil 750ml,marketplace,9,19.01,0.15,145.43,Enterprise,3.0
ORD-100549,2023-01-04,North America,Canada,Beauty,Serum Vitamin C,web,4,18.47,0.0,73.88,Consumer,2.0
ORD-100555,2023-01-04,North America,Canada,Home,Cotton Duvet,marketplace,1,114.06,0.15,96.95,SMB,3.0
ORD-101028,2023-01-04,APAC,Australia,Grocery,Olive Oil 750ml,web,3,17.67,0.1,47.71,SMB,6.0
ORD-101743,2023-01-04,North America,United States,Electronics,Laptop Air 13,web,4,85.24,0.0,340.96,Consumer,3.0
ORD-103432,2023-01-04,APAC,Singapore,Beauty,Serum Vitamin C,partner,1,15.48,0.05,14.71,SMB,4.0
ORD-100887,2023-01-05,APAC,India,Electronics,4K Monitor,web,6,557.78,0.0,3346.68,Consumer,9.0
ORD-103258,2023-01-05,APAC,Japan,Sports,Yoga Mat Pro,web,2,187.97,0.05,357.14,Consumer,10.0
ORD-104637,2023-01-05,EMEA,France,Electronics,Laptop Air 13,web,6,401.35,0.0,2408.1,Consumer,4.0
ORD-104822,2023-01-05,North America,Mexico,Electronics,4K Monitor,web,2,315.45,0.0,630.9,Consumer,
ORD-100212,2023-01-06,North America,Mexico,Beauty,Serum Vitamin C,retail,2,51.78,0.05,98.38,Consumer,3.0
